P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,
,,,,,,,,,,,1B/3B,Álex Rodríguez (6482861),Álex Rodríguez,6482861,3800,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,OF,Hanley Ramírez (6482931),Hanley Ramírez,6482931,3800,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Michael Brantley (6482933),Michael Brantley,6482933,3800,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Brett Gardner (6482919),Brett Gardner,6482919,3800,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SS,Asdrubal Cabrera (6482895),Asdrubal Cabrera,6482895,3700,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,2B,Dustin Pedroia (6482871),Dustin Pedroia,6482871,3700,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,3B,Mike Moustakas (6482881),Mike Moustakas,6482881,3700,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Evan Gattis (6482927),Evan Gattis,6482927,3700,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,1B,Carlos Santana (6482859),Carlos Santana,6482859,3600,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Alex Gordon (6482908),Alex Gordon,6482908,3600,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Jarrod Dyson (6482910),Jarrod Dyson,6482910,3600,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Aaron Hicks (6482921),Aaron Hicks,6482921,3600,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,2B,Jason Kipnis (6482872),Jason Kipnis,6482872,3600,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,SS,Xander Bogaerts (6482898),Xander Bogaerts,6482898,3600,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Michael Conforto (6482915),Michael Conforto,6482915,3600,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,OF,Carlos Beltrán (6482916),Carlos Beltrán,6482916,3500,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,C,Brian McCann (6482841),Brian McCann,6482841,3500,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,3B,Chase Headley (6482883),Chase Headley,6482883,3500,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,1B/3B,Matt Duffy (6482863),Matt Duffy,6482863,3500,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SS,Francisco Lindor (6482899),Francisco Lindor,6482899,3500,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Terrance Gore (6482913),Terrance Gore,6482913,3500,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Marlon Byrd (6482929),Marlon Byrd,6482929,3400,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,2B/SS,Wilmer Flores (6482877),Wilmer Flores,6482877,3400,NYM@KC 04:15PM ET,NYM
